"RPCID","DPCID","SPID","TRIP_ID","AGID","DDATE","DTIME","DDAY","DMONTH","DYEAR","DPORT","RDATE","RTIME","RDAY","RMONTH","RYEAR","BIMON_PERIOD","RPORT","DRVID","TOWDATE","TOWNUM","AREA","ARID_PSMFC","BLOCK","BLOCK_OR","LATLONG_TYPE","CH_LAT","CH_LONG","MSEC_LAT","MSEC_LONG","SET_LAT","SET_LONG","SET_TIME","UP_TIME","DURATION","UP_AREA","UP_ARID_PSMFC","UP_BLOCK","UP_BLOCK_OR","UP_CH_LAT","UP_CH_LONG","UP_MSEC_LAT","UP_MSEC_LONG","UP_LAT","UP_LONG","NET_TYPE","GRID","DEPTH_TYPE1","DEPTH1","DEPTH_TYPE2","DEPTH2","TARGET","PS_GRND_CODE","HPOUNDS","APOUNDS","APOUNDS_CALCULATED","APOUNDS_WDFW","ADJ_TOWTIME","CATCHSOURCE","SPCODE","FT_MATCH_FLAG","FTID","FTID1","FTID2","FTID3","FTID4","FTID5","FTID6","TICKET_DATE","FTSOURCE","TRIPWARNING","TOWWARNING","CATCHWARNING","PERMID_1","PERMID_2","PERMID_3","PERMID_4","PERMID_5","GR_SECTOR","GR_ENDOR_1","GR_ENDOR_2","GR_ENDOR_3","GR_ENDOR_4","GR_ENDOR_5","SABLE_TIER_1","SABLE_TIER_2","SABLE_TIER_3","SABLE_TIER_4","SABLE_TIER_5","LEN_ENDOR_1","LEN_ENDOR_2","LEN_ENDOR_3","LEN_ENDOR_4","LEN_ENDOR_5","HAUL_ID","AVGLAT","AVGLONG","AVGLAT.GIS","PACFIN_TAR","LB","common.name","spgrftob1","rel","depth","group.north","group.south","TYPE","GF","NS","REBUILDING","spc.name","sci.name","cmplx","GROUPING","GFR","species","scientific_name","D_PORTGRP","R_PORTGRP"
"AST","AST","DOVR",963626,"O","20-JUL-2005",1900,20,7,2005,"02","25-JUL-2005",700,25,7,2005,4,"02","621170","21-JUL-2005",2,"NORTH","3A",NA,0,"L",NA,NA,0,0,47.3267,124.74,1115,1415,3,NA,NA,NA,0,NA,NA,0,0,47.3133,124.7267,"393","FTS","A",75,NA,NA,"624",NA,2000,1929,NA,NA,NA,NA,"624",TRUE,"3939282","3939282",NA,NA,NA,NA,NA,NA,NA,"000000N000000000000000","00000000000000000000000NPN00","000000000","GF0593",NA,NA,NA,NA,"TRAWL","T",NA,NA,NA,NA,0,NA,NA,NA,NA,83,NA,NA,NA,NA,"9636262",47.32,124.73335,47.32,"DOVR",1929,"DOVER SOLE",11,NA,NA,"Dover sole","Dover sole","groundfish",1,0,0,"Dover Sole","Microstomus pacificus",10,"Dover sole",1929,"Dover Sole","Microstomus pacificus","AT","AT"
"AST","AST","DOVR",1089933,"O","17-OCT-2012",1400,17,10,2012,"02","22-OCT-2012",1930,22,10,2012,5,"02","503182","18-OCT-2012",2,"NORTH","2E",NA,0,"L",NA,NA,0,0,45.3933,124.5483,430,1000,5.5,NA,NA,NA,0,NA,NA,0,0,45.5767,124.5683,"391","RLT","A",230,NA,NA,"624",NA,2000,1929,NA,NA,NA,NA,"624",TRUE,"3955830","3955830",NA,NA,NA,NA,NA,NA,NA,"000000N000000000000000","00000000000000000000000NPN00","000000000","GF0064",NA,NA,NA,NA,"TRAWL","T",NA,NA,NA,NA,0,NA,NA,NA,NA,52.5,NA,NA,NA,NA,"10899332",45.485,124.5583,45.485,"DOVR",1929,"DOVER SOLE",11,NA,NA,"Dover sole","Dover sole","groundfish",1,0,0,"Dover Sole","Microstomus pacificus",10,"Dover sole",1929,"Dover Sole","Microstomus pacificus","AT","AT"
"AST","AST","DOVR",1089933,"O","17-OCT-2012",1400,17,10,2012,"02","22-OCT-2012",1930,22,10,2012,5,"02","503182","19-OCT-2012",7,"NORTH","2E",NA,0,"L",NA,NA,0,0,45.585,124.6583,1550,2150,6,NA,NA,NA,0,NA,NA,0,0,45.3883,124.49,"391","RLT","A",230,NA,NA,"624",NA,2000,1929,NA,NA,NA,NA,"624",TRUE,"3955830","3955830",NA,NA,NA,NA,NA,NA,NA,"000000N000000000000000","00000000000000000000000NPN00","000000000","GF0064",NA,NA,NA,NA,"TRAWL","T",NA,NA,NA,NA,0,NA,NA,NA,NA,52.5,NA,NA,NA,NA,"10899337",45.48665,124.57415,45.48665,"DOVR",1929,"DOVER SOLE",11,NA,NA,"Dover sole","Dover sole","groundfish",1,0,0,"Dover Sole","Microstomus pacificus",10,"Dover sole",1929,"Dover Sole","Microstomus pacificus","AT","AT"
"AST","AST","PTRL",899073,"O","07-JAN-2003",1000,7,1,2003,"02","11-JAN-2003",5,11,1,2003,1,"02","528842","08-JAN-2003",4,"NORTH","2E",NA,0,"L",NA,NA,0,0,45.705,124.7267,1030,1605,5.6,NA,NA,NA,0,NA,NA,0,0,45.6933,124.715,"391","RLT","A",182,NA,NA,"608",NA,2000,1929,NA,NA,NA,NA,"608",TRUE,"3304341","3304341",NA,NA,NA,NA,NA,NA,NA,"000000N000000000000000","00000000000000000000000NPN00","000000000","GF0251",NA,NA,NA,NA,"TRAWL","T",NA,NA,NA,NA,0,NA,NA,NA,NA,83,NA,NA,NA,NA,"8990734",45.69915,124.72085,45.69915,"PTRL",1929,"PETRALE SOLE",25,NA,NA,"Petrale sole","Petrale sole","groundfish",1,0,0,"Petrale Sole","Eopsetta jordani",10,"Petrale sole",1929,"Petrale Sole","Eopsetta jordani","AT","AT"
"AST","AST","SABL",924584,"O","11-MAR-2006",800,11,3,2006,"02","13-MAR-2006",2100,13,3,2006,2,"02","640718","12-MAR-2006",1,"NORTH","3A",NA,0,"L",NA,NA,0,0,46.6933,124.8717,535,1330,7.9,NA,NA,NA,0,NA,NA,0,0,46.8833,125.1417,"391","RLT","A",350,NA,NA,"477",NA,2000,1929,NA,NA,NA,NA,"477",TRUE,"3940216","3940216",NA,NA,NA,NA,NA,NA,NA,"000000N000000000000000","00000000000000000000000NPN00","000000000","GF0487",NA,NA,NA,NA,"TRAWL","T",NA,NA,NA,NA,0,NA,NA,NA,NA,58,NA,NA,NA,NA,"9245841",46.7883,125.0067,46.7883,"SABL",1929,"SABLEFISH",1,NA,NA,"Sablefish","Sablefish","groundfish",1,0,0,"Sablefish","Anoplopoma fimbria",10,"Sablefish (North of 36<b0> N. lat.)",1929,"Sablefish","Anoplopoma fimbria","AT","AT"
"AST","AST","DOVR",1089933,"O","17-OCT-2012",1400,17,10,2012,"02","22-OCT-2012",1930,22,10,2012,5,"02","503182","18-OCT-2012",3,"NORTH","2E",NA,0,"L",NA,NA,0,0,45.575,124.5733,1040,1615,5.5,NA,NA,NA,0,NA,NA,0,0,45.395,124.4833,"391","RLT","A",240,NA,NA,"624",NA,2000,1929,NA,NA,NA,NA,"624",TRUE,"3955830","3955830",NA,NA,NA,NA,NA,NA,NA,"000000N000000000000000","00000000000000000000000NPN00","000000000","GF0064",NA,NA,NA,NA,"TRAWL","T",NA,NA,NA,NA,0,NA,NA,NA,NA,52.5,NA,NA,NA,NA,"10899333",45.485,124.5283,45.485,"DOVR",1929,"DOVER SOLE",11,NA,NA,"Dover sole","Dover sole","groundfish",1,0,0,"Dover Sole","Microstomus pacificus",10,"Dover sole",1929,"Dover Sole","Microstomus pacificus","AT","AT"
"BRG","BRG","LSP1",928905,"C","17-MAY-2006",1645,17,5,2006,"223","20-MAY-2006",1900,20,5,2006,3,"223","604639","18-MAY-2006",3,"SOUTH","1B",442,NA,"L",NA,NA,NA,NA,38.0057,123.5545,2250,505,6.25,NA,NA,NA,NA,NA,NA,NA,NA,38.2305,123.578,"L","GFL","A",475,NA,NA,"THHD",NA,2000,1929,NA,NA,NA,NA,"LSPN",TRUE,"X228543","X228543",NA,NA,NA,NA,NA,NA,NA,"000000N000000000000000","000000000000000000000B000000","000000000","GF0038",NA,NA,NA,NA,"TRAWL","T",NA,NA,NA,NA,0,NA,NA,NA,NA,63,NA,NA,NA,NA,"9289053",38.1181,123.56625,38.1181,"THHD",1929,"NOM. LONGSPINE THORNYHEAD",39,NA,NA,"Longspine thornyhead","Longspine thornyhead","groundfish",1,0,0,"Longspine Thornyhead","Sebastolobus altivelis",10,"Longspine Thornyhead (North of 34<b0>27' N. lat.)",1929,"Longspine Thornyhead","Sebastolobus altivelis","FB","FB"
"BRG","BRG","USLP",934676,"C","20-JUN-2007",330,20,6,2007,"223","21-JUN-2007",300,21,6,2007,3,"223","650768","20-JUN-2007",5,"SOUTH","1B",410,NA,"L",NA,NA,NA,NA,38.8292,123.9012,1905,2000,0.92,NA,NA,NA,NA,NA,NA,NA,NA,38.8542,123.9387,"L","GFL","A",180,NA,NA,NA,NA,2000,1929,NA,NA,NA,NA,"USLP",TRUE,"X225724","X225724",NA,NA,NA,NA,NA,NA,NA,"00000NN000000000000000","000000000000000000000B000000","000000000","GF0307",NA,NA,NA,NA,"TRAWL","T",NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,NA,NA,"9346765",38.8417,123.91995,38.8417,NA,1929,"UNSP. SLOPE ROCKFISH",52,NA,NA,"Minor slope rockfish (North of 40°10' N. lat.)","Minor slope rockfish (South of 40°10' N. lat.)","groundfish",1,0,0,"Slope Rockfish Unid","Scorpaenidae",3,"Minor slope rockfish (South of 40°10' N. lat.)",1929,"Slope Rockfish Unid","Scorpaenidae","FB","FB"
"BRG","BRG","USLP",934676,"C","20-JUN-2007",330,20,6,2007,"223","21-JUN-2007",300,21,6,2007,3,"223","650768","20-JUN-2007",6,"SOUTH","1B",403,NA,"L",NA,NA,NA,NA,38.9187,123.968,2100,2235,1.58,NA,NA,NA,NA,NA,NA,NA,NA,38.9458,123.9655,"L","GFL","A",165,NA,NA,NA,NA,2000,1929,NA,NA,NA,NA,"USLP",TRUE,"X225724","X225724",NA,NA,NA,NA,NA,NA,NA,"00000NN000000000000000","000000000000000000000B000000","000000000","GF0307",NA,NA,NA,NA,"TRAWL","T",NA,NA,NA,NA,0,NA,NA,NA,NA,80,NA,NA,NA,NA,"9346766",38.93225,123.96675,38.93225,NA,1929,"UNSP. SLOPE ROCKFISH",52,NA,NA,"Minor slope rockfish (North of 40°10' N. lat.)","Minor slope rockfish (South of 40°10' N. lat.)","groundfish",1,0,0,"Slope Rockfish Unid","Scorpaenidae",3,"Minor slope rockfish (South of 40°10' N. lat.)",1929,"Slope Rockfish Unid","Scorpaenidae","FB","FB"
"BRG","BRG","GRDR",928775,"C","04-AUG-2006",1200,4,8,2006,"223","07-AUG-2006",1100,7,8,2006,4,"223","610390","05-AUG-2006",4,"SOUTH","1B",245,NA,"L",NA,NA,NA,NA,39.9927,124.3885,820,1605,7.75,NA,NA,NA,NA,NA,NA,NA,NA,39.9877,124.6613,"S","GFS","A",580,NA,NA,"THHD",NA,2000,1929,NA,NA,NA,NA,"GRDR",TRUE,"X230172","X230172",NA,NA,NA,NA,NA,NA,NA,"000000N000000000000000","000000000000000000000B000000","000000000","GF0705",NA,NA,NA,NA,"TRAWL","T",NA,NA,NA,NA,0,NA,NA,NA,NA,51.4,NA,NA,NA,NA,"9287754",39.9902,124.5249,39.9902,"THHD",1929,"UNSP. GRENADIERS",112,NA,NA,"Other groundfish","Other groundfish","groundfish",1,0,0,"Grenadier Unid","Macrouridae",5,"Other groundfish",1929,"Grenadier Unid","Macrouridae","FB","FB"
