"state_port","state.target","state.spcode","state","vesselid","length.type","length","dport","dday","rday","year","dtime","rtime","townum","tow_date","set_time","set_lat","set_long","up_time","up_lat","up_long","duration","block","depth_type1","depth1","net_type","target","spcode","hpounds","apounds","mid_lat","mid_long","tow","trip","date","identifier","spcode.desc","target.desc","tow_month","tow_day","tow_year","description"
"C 100","C DTS","C DOVR","C","H112329",1,73,"100","01-AUG-09","05-AUG-09",2009,1200,1630,7,"04-AUG-09",2200,40.3712,-124.5733,200,40.4768,-124.6663,4,NA,"A",350,"L","DTS","DOVR",2000,1929,40.424,-124.6198,"H112329 7 01-AUG-09","H112329 01-AUG-09",2009-08-01,37130,"sole dover",NA,"AUG","04","09","NORTH OF CALIFORNIA"
"C 100","C DTS","C DOVR","C","H112329",1,73,"100","01-AUG-09","05-AUG-09",2009,1200,1630,6,"04-AUG-09",1753,40.4947,-124.6607,2131,40.3712,-124.5733,3.64,NA,"A",401,"L","DTS","DOVR",2000,1929,40.43295,-124.617,"H112329 6 01-AUG-09","H112329 01-AUG-09",2009-08-01,37126,"sole dover",NA,"AUG","04","09","NORTH OF CALIFORNIA"
"C 201","C DTS","C LSPN","C","H9114",1,57,"201","02-JUN-08","04-JUN-08",2008,1030,1700,3,"03-JUN-08",1640,41.371,-124.5382,300,41.0532,-124.5332,10.33,NA,"A",380,"L","DTS","LSPN",2000,1929,41.2121,-124.5357,"H9114 3 02-JUN-08","H9114 02-JUN-08",2008-06-02,282697,"thornyhead longspine",NA,"JUN","03","08","CRESCENT CITY"
"C 220","C DTS","C DOVR","C","H3224",1,56,"220","03-OCT-03","05-OCT-03",2003,1030,30,2,"03-OCT-03",2330,40.9065,-124.6295,530,40.7312,-124.5657,6,NA,"A",325,"L","DTS","DOVR",2000,1929,40.81885,-124.5976,"H3224 2 03-OCT-03","H3224 03-OCT-03",2003-10-03,82160,"sole dover",NA,"OCT","03","03","EUREKA"
"C 220","C THHD","C LSPN","C","H4949",1,58,"220","25-MAY-08","28-MAY-08",2008,800,530,1,"25-MAY-08",1530,40.2533,-124.8867,2330,40.075,-124.76,8,NA,"A",480,"L","THHD","LSPN",2000,1929,40.16415,-124.82335,"H4949 1 25-MAY-08","H4949 25-MAY-08",2008-05-25,123071,"thornyhead longspine",NA,"MAY","25","08","EUREKA"
"C 220","C DOVR","C DOVR","C","H8332",1,44,"220","05-JUL-06","06-JUL-06",2006,1000,1300,2,"05-JUL-06",1430,40.7852,-124.4545,1615,40.7218,-124.5002,1.75,NA,"A",90,"F","DOVR","DOVR",2000,1929,40.7535,-124.47735,"H8332 2 05-JUL-06","H8332 05-JUL-06",2006-07-05,241981,"sole dover","sole dover","JUL","05","06","EUREKA"
"C 223","C ","C USLP","C","H9292",1,80,"223","20-JUN-07","21-JUN-07",2007,330,300,5,"20-JUN-07",1905,38.8292,-123.9012,2000,38.8542,-123.9387,0.92,NA,"A",180,"L","","USLP",2000,1929,38.8417,-123.91995,"H9292 5 20-JUN-07","H9292 20-JUN-07",2007-06-20,285999,"rockfish slope",NA,"JUN","20","07","FORT BRAGG"
"C 223","C ","C USLP","C","H9292",1,80,"223","20-JUN-07","21-JUN-07",2007,330,300,6,"20-JUN-07",2100,38.9187,-123.968,2235,38.9458,-123.9655,1.58,NA,"A",165,"L","","USLP",2000,1929,38.93225,-123.96675,"H9292 6 20-JUN-07","H9292 20-JUN-07",2007-06-20,286008,"rockfish slope",NA,"JUN","20","07","FORT BRAGG"
"C 223","C ","C CLPR","C","H9292",1,71,"223","25-JUL-12","26-JUL-12",2012,1245,1800,6,"26-JUL-12",850,39.8333,-124.0828,1030,39.8965,-124.1312,1.67,NA,"A",92,"B","","CLPR",2000,1929,39.8649,-124.107,"H9292 6 25-JUL-12","H9292 25-JUL-12",2012-07-25,328214,"rockfish chilipepper",NA,"JUL","26","12","FORT BRAGG"
"C 223","C THHD","C GRDR","C","H8283",1,50,"223","04-AUG-06","07-AUG-06",2006,1200,1100,4,"05-AUG-06",820,39.9927,-124.3885,1605,39.9877,-124.6613,7.75,NA,"A",580,"S","THHD","GRDR",2000,1929,39.9902,-124.5249,"H8283 4 04-AUG-06","H8283 04-AUG-06",2006-08-04,233154,"grenadiers ",NA,"AUG","05","06","FORT BRAGG"
